procedure_id,procedure_name,benchmark_rate,source_count,category,data_nature
PROC051,Pulmonary Embolectomy,141000.0,1,Imaging,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC052,Thromboendarterectomy,141000.0,1,Imaging,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC053,CABG without bypass.,140000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC054,Ascending aorta replacement,130000.0,1,Procedure,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC055,Bentall Repair with Biologic Valve,127500.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC056,Triple valve procedure,127500.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC057,Coronary Artery Bypass Graft surgery (CABG),127075.0,1,Procedure,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC058,TOF/TAPVC/TCPC/REV/RSOV repair,127075.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC059,Senning/Arterial Switch Operation (ASO) with graft,122188.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
PROC060,ASD Closure + Infundibular procedure,120000.0,1,General,real_procedure_names_and_benchmarks_from_uploaded_CGHS_PMJAY
